Wall time,Step,Value
1600372679.539567,0,0.03694457188248634
1600373625.537076,1,0.023127982392907143
1600374572.712003,2,0.019779285416007042
1600375519.946364,3,0.01767641119658947
1600376465.497685,4,0.016675801947712898
1600377408.021763,5,0.015430482104420662
1600378350.6985,6,0.014688358642160892
1600379287.90377,7,0.01409643329679966
1600380225.325093,8,0.01364954188466072
1600381162.472391,9,0.013079266063869
1600382100.832762,10,0.012788806110620499
1600383040.19347,11,0.01236632652580738
1600383978.938174,12,0.012192968279123306
1600384918.476957,13,0.011927826330065727
1600385859.967851,14,0.011605706065893173
1600386801.005986,15,0.011621366254985332
1600387740.70176,16,0.011306766420602798
1600388681.453171,17,0.011122198775410652
1600389621.063154,18,0.010876216925680637
1600390567.707237,19,0.010771123692393303
1600391523.893384,20,0.010645169764757156
1600392481.650409,21,0.01048467867076397
1600393441.738739,22,0.010236584581434727
1600394410.926316,23,0.010347258299589157
1600395371.516775,24,0.01014301460236311
1600396320.434703,25,0.009966707788407803
1600397265.42784,26,0.009900091215968132
1600398228.968669,27,0.009789876639842987
1600399187.501914,28,0.0096813403069973
1600400148.85611,29,0.009705150499939919
